Frequency (Hz)	Level (dB)
2939.282227	-68.191933
2950.048828	-69.380356
2960.815430	-66.933128
2971.582031	-66.056602
2982.348633	-64.158081
2993.115234	-67.089645
3003.881836	-70.594841
3014.648438	-67.663864
3025.415039	-72.058739
3036.181641	-86.774261
3046.948242	-82.041969
3057.714844	-82.805069
3068.481445	-79.818550
3079.248047	-81.221680
3090.014648	-83.837006
3100.781250	-86.809937
3111.547852	-77.453697
3122.314453	-80.578697
3133.081055	-74.764351
3143.847656	-77.216461
3154.614258	-76.783546
3165.380859	-81.221977
3176.147461	-86.074348
3186.914063	-94.973724
3197.680664	-74.022804
3208.447266	-65.812538
3219.213867	-66.459557
3229.980469	-72.743317
3240.747070	-68.482155
3251.513672	-68.801537
3262.280273	-65.462151
3273.046875	-65.491570
3283.813477	-65.519135
3294.580078	-69.045944
3305.346680	-66.270752
3316.113281	-62.365967
3326.879883	-65.884682
3337.646484	-65.816338
3348.413086	-59.619999
3359.179688	-59.068352
3369.946289	-61.789886
3380.712891	-62.710575
3391.479492	-58.237297
3402.246094	-58.521927
3413.012695	-63.865692
3423.779297	-57.968929
3434.545898	-64.000572
3445.312500	-54.942860
3456.079102	-64.283585
3466.845703	-50.719479
3477.612305	-53.180550
3488.378906	-34.951916
3499.145508	-24.009441
3509.912109	-25.183897
3520.678711	-40.890594
3531.445313	-52.771271
3542.211914	-60.091591
3552.978516	-59.967991
3563.745117	-72.370583
3574.511719	-66.130363
3585.278320	-52.579739
3596.044922	-51.316826
3606.811523	-54.321152
3617.578125	-56.722534
3628.344727	-61.015339
3639.111328	-59.497421
3649.877930	-59.699085
3660.644531	-64.485077
3671.411133	-67.774284
3682.177734	-63.348724
3692.944336	-73.895012
3703.710938	-62.308556
3714.477539	-60.648365
3725.244141	-61.682793
3736.010742	-70.271980
3746.777344	-65.965820
3757.543945	-69.303345
3768.310547	-84.470612
3779.077148	-80.656296
3789.843750	-76.650909
3800.610352	-72.275963
3811.376953	-64.978516
3822.143555	-74.269264
3832.910156	-69.351921
3843.676758	-71.964493
3854.443359	-70.070984
3865.209961	-70.007324
3875.976563	-71.753906
3886.743164	-68.874023
3897.509766	-79.298508
3908.276367	-76.300858
3919.042969	-72.246330
3929.809570	-73.569214
3940.576172	-72.877556
3951.342773	-72.937141
3962.109375	-78.567162
3972.875977	-71.043304
3983.642578	-68.501434
3994.409180	-74.109352
4005.175781	-74.340492
4015.942383	-77.463516
4026.708984	-83.069572
4037.475586	-88.153725
4048.242188	-67.963196
4059.008789	-64.168358
4069.775391	-65.607559
4080.541992	-68.426544
4091.308594	-67.025986
4102.075195	-69.609459
4112.841797	-61.420681
4123.608398	-58.190830
4134.375000	-66.257172
4145.141602	-64.528183
4155.908203	-61.258064
4166.674805	-63.411846
4177.441406	-57.306313
4188.208008	-46.225342
4198.974609	-34.043255
4209.741211	-30.859570
4220.507813	-38.769684
4231.274414	-43.635777
4242.041016	-50.851513
4252.807617	-57.548252
4263.574219	-63.169399
4274.340820	-57.448795
4285.107422	-54.037430
4295.874023	-53.135075
4306.640625	-55.642586
4317.407227	-65.158272
4328.173828	-68.229980
4338.940430	-70.399010
4349.707031	-80.643471
4360.473633	-73.419815
4371.240234	-67.665291
4382.006836	-69.460907
4392.773438	-72.328560
4403.540039	-73.447365
4414.306641	-75.854607
4425.073242	-70.359207
4435.839844	-63.312244
4446.606445	-62.680832
4457.373047	-65.000015
4468.139648	-68.900108
4478.906250	-68.131622
4489.672852	-68.488770
4500.439453	-70.862984
4511.206055	-74.088097
4521.972656	-80.490433
4532.739258	-89.896355
4543.505859	-82.071999
4554.272461	-82.942787
4565.039063	-77.994125
4575.805664	-86.992119
4586.572266	-80.891930
4597.338867	-96.607597
4608.105469	-83.810486
4618.872070	-76.042969
4629.638672	-74.367912
4640.405273	-75.779655
4651.171875	-82.953331
4661.938477	-76.330215
4672.705078	-83.967583
4683.471680	-76.349113
4694.238281	-78.370369
4705.004883	-72.189514
4715.771484	-73.268723
4726.538086	-82.636520
4737.304688	-73.541977
4748.071289	-69.783363
4758.837891	-67.150574
4769.604492	-69.237457
4780.371094	-70.439766
4791.137695	-66.035309
4801.904297	-61.382446
4812.670898	-63.492115
4823.437500	-68.557274
4834.204102	-76.114769
4844.970703	-80.031982
4855.737305	-70.503105
4866.503906	-68.492485
4877.270508	-54.429482
4888.037109	-52.152916
4898.803711	-60.779186
4909.570313	-47.092716
4920.336914	-36.059994
4931.103516	-36.272575
4941.870117	-46.754372
4952.636719	-54.110901
4963.403320	-62.321743
4974.169922	-66.427177
4984.936523	-70.302353
4995.703125	-60.451363
5006.469727	-62.059021
5017.236328	-68.382172
5028.002930	-64.974007
5038.769531	-62.941231
5049.536133	-65.868469
5060.302734	-74.281235
5071.069336	-68.855881
5081.835938	-74.188255
5092.602539	-66.925545
5103.369141	-82.749702
5114.135742	-72.462296
5124.902344	-69.714005
5135.668945	-71.700638
5146.435547	-75.398270
5157.202148	-72.882164
5167.968750	-73.258987
5178.735352	-74.957909
5189.501953	-77.183784
5200.268555	-85.672798
5211.035156	-81.861542
5221.801758	-81.697632
5232.568359	-73.710556
5243.334961	-74.311195
5254.101563	-81.636131
5264.868164	-83.868446
5275.634766	-83.626122
5286.401367	-94.984634
5297.167969	-79.177574
5307.934570	-73.494675
5318.701172	-74.623756
5329.467773	-78.959465
5340.234375	-85.841240
5351.000977	-91.490440
5361.767578	-76.794868
5372.534180	-70.168106
5383.300781	-82.396072
5394.067383	-75.629227
5404.833984	-77.987152
5415.600586	-75.809845
5426.367188	-83.420670
5437.133789	-81.760124
5447.900391	-79.522995
5458.666992	-72.848152
5469.433594	-75.949928
5480.200195	-76.158478
5490.966797	-74.781776
5501.733398	-79.762016
5512.500000	-74.813660
5523.266602	-73.060539
5534.033203	-71.785385
5544.799805	-66.121452
5555.566406	-66.891960
5566.333008	-70.942078
5577.099609	-73.098289
5587.866211	-65.596817
5598.632813	-55.783363
5609.399414	-65.553673
5620.166016	-51.982464
5630.932617	-29.940464
5641.699219	-24.488890
5652.465820	-29.122807
5663.232422	-50.772301
5673.999023	-56.970459
5684.765625	-61.987473
5695.532227	-59.320137
5706.298828	-69.920456
5717.065430	-80.129372
5727.832031	-65.659584
5738.598633	-67.173523
5749.365234	-75.358734
5760.131836	-70.014862
5770.898438	-69.542625
5781.665039	-68.425560
5792.431641	-75.535805
5803.198242	-76.043411
5813.964844	-74.399857
5824.731445	-74.055473
5835.498047	-72.626396
5846.264648	-79.337074
5857.031250	-74.667259
5867.797852	-74.371208
5878.564453	-72.045189
5889.331055	-65.717354
5900.097656	-63.518669
5910.864258	-67.204803
5921.630859	-66.457245
5932.397461	-63.754833
5943.164063	-67.187798
5953.930664	-72.144737
5964.697266	-76.533958
5975.463867	-73.049431
5986.230469	-78.159554
5996.997070	-83.630714
6007.763672	-78.184425
6018.530273	-79.767601
6029.296875	-79.358292
6040.063477	-74.120811
6050.830078	-75.486992
6061.596680	-72.060883
6072.363281	-69.715279
6083.129883	-79.921761
6093.896484	-70.229477
6104.663086	-73.947647
