Frequency (Hz)	Level (dB)
10.766602	-138.995865
21.533203	-141.994949
32.299805	-133.646164
43.066406	-133.320267
53.833008	-141.645096
64.599609	-136.077164
75.366211	-149.778137
86.132813	-139.868439
96.899414	-144.596527
107.666016	-133.900558
118.432617	-131.723007
129.199219	-138.879349
139.965820	-140.520203
150.732422	-137.840469
161.499023	-133.852997
172.265625	-134.348831
183.032227	-137.150406
193.798828	-142.940125
204.565430	-137.706955
215.332031	-144.432281
226.098633	-144.438889
236.865234	-136.936401
247.631836	-134.871140
258.398438	-136.839401
269.165039	-138.996384
279.931641	-144.111481
290.698242	-138.210052
301.464844	-134.031769
312.231445	-139.713898
322.998047	-139.884262
333.764648	-139.659286
344.531250	-137.498505
355.297852	-137.752289
366.064453	-132.170776
376.831055	-132.915619
387.597656	-136.972366
398.364258	-129.039734
409.130859	-135.138657
419.897461	-135.527588
430.664063	-134.331436
441.430664	-143.035828
452.197266	-149.581268
462.963867	-138.163467
473.730469	-134.541443
484.497070	-143.604752
495.263672	-127.285561
506.030273	-127.223000
516.796875	-146.635834
527.563477	-132.646851
538.330078	-139.728119
549.096680	-138.847763
559.863281	-142.843475
570.629883	-133.592331
581.396484	-134.506851
592.163086	-131.923721
602.929688	-125.876068
613.696289	-133.422440
624.462891	-134.062256
635.229492	-136.573486
645.996094	-143.920609
656.762695	-147.154755
667.529297	-160.304489
678.295898	-135.961624
689.062500	-130.044510
699.829102	-129.615173
710.595703	-135.671173
721.362305	-131.970764
732.128906	-131.344406
742.895508	-137.609131
753.662109	-152.985901
764.428711	-142.935547
775.195313	-136.471191
785.961914	-135.754623
796.728516	-133.930969
807.495117	-133.037720
818.261719	-134.191269
829.028320	-131.723785
839.794922	-132.546112
850.561523	-132.266052
861.328125	-133.955505
872.094727	-145.377457
882.861328	-136.870956
893.627930	-146.649429
904.394531	-134.393616
915.161133	-135.201370
925.927734	-133.980133
936.694336	-131.956299
947.460938	-136.771606
958.227539	-139.372986
968.994141	-139.340225
979.760742	-147.308334
990.527344	-132.819229
1001.293945	-130.259109
1012.060547	-134.022293
