Frequency (Hz)	Level (dB)
10.766602	-90.362892
21.533203	-90.378395
32.299805	-90.321892
43.066406	-90.430267
53.833008	-90.374916
64.599609	-90.364578
75.366211	-90.367134
86.132813	-90.395020
96.899414	-90.351685
107.666016	-90.321716
118.432617	-90.444946
129.199219	-90.355576
139.965820	-90.355698
150.732422	-90.397987
161.499023	-90.396248
172.265625	-90.385262
183.032227	-90.341202
193.798828	-90.363487
204.565430	-90.412697
215.332031	-90.362015
226.098633	-90.365898
236.865234	-90.357986
247.631836	-90.382973
258.398438	-90.359642
269.165039	-90.389481
279.931641	-90.370850
290.698242	-90.393051
301.464844	-90.343155
312.231445	-90.370041
322.998047	-90.402145
333.764648	-90.357933
344.531250	-90.377953
355.297852	-90.383522
366.064453	-90.309044
376.831055	-90.432457
387.597656	-90.377792
398.364258	-90.324890
409.130859	-90.403847
419.897461	-90.367188
430.664063	-90.340195
441.430664	-90.384682
452.197266	-90.377457
462.963867	-90.381523
473.730469	-90.330887
484.497070	-90.386818
495.263672	-90.489883
506.030273	-90.253845
516.796875	-90.348122
527.563477	-90.426140
538.330078	-90.368027
549.096680	-90.338440
559.863281	-90.389000
570.629883	-90.396484
581.396484	-90.327263
592.163086	-90.323982
602.929688	-90.448448
613.696289	-90.355675
624.462891	-90.306068
635.229492	-90.402672
645.996094	-90.379311
656.762695	-90.352341
667.529297	-90.351517
678.295898	-90.334213
689.062500	-90.410782
699.829102	-90.366348
710.595703	-90.331726
721.362305	-90.415764
732.128906	-90.294121
742.895508	-90.388588
753.662109	-90.372185
764.428711	-90.348724
775.195313	-90.387230
785.961914	-90.342964
796.728516	-90.301376
807.495117	-90.412704
818.261719	-90.347206
829.028320	-90.403160
839.794922	-90.319336
850.561523	-90.312042
861.328125	-90.383240
872.094727	-90.370949
882.861328	-90.322227
893.627930	-90.364769
904.394531	-90.371460
915.161133	-90.358940
925.927734	-90.329353
936.694336	-90.377754
947.460938	-90.347809
958.227539	-90.318848
968.994141	-90.370316
979.760742	-90.366119
990.527344	-90.366989
1001.293945	-90.268181
1012.060547	-90.391815
1022.827148	-90.338089
1033.593750	-90.394104
1044.360352	-90.314232
1055.126953	-90.376839
1065.893555	-90.296364
1076.660156	-90.387383
1087.426758	-90.326073
1098.193359	-90.364227
1108.959961	-90.379570
1119.726563	-90.284966
1130.493164	-90.321945
1141.259766	-90.390579
1152.026367	-90.351105
1162.792969	-90.303406
1173.559570	-90.355469
1184.326172	-90.354141
1195.092773	-90.319069
1205.859375	-90.313683
1216.625977	-90.359619
1227.392578	-90.360878
1238.159180	-90.321426
1248.925781	-90.323936
1259.692383	-90.356773
1270.458984	-90.350716
1281.225586	-90.309174
1291.992188	-90.307907
1302.758789	-90.382484
1313.525391	-90.324631
1324.291992	-90.302567
1335.058594	-90.339005
1345.825195	-90.325981
1356.591797	-90.321182
1367.358398	-90.399940
1378.125000	-90.248352
1388.891602	-90.340370
1399.658203	-90.334038
1410.424805	-90.330223
1421.191406	-90.316338
1431.958008	-90.322655
1442.724609	-90.339149
1453.491211	-90.311241
1464.257813	-90.274170
1475.024414	-90.397354
1485.791016	-90.334175
1496.557617	-90.189728
1507.324219	-90.385109
1518.090820	-90.361916
1528.857422	-90.288460
1539.624023	-90.296013
1550.390625	-90.357666
1561.157227	-90.291344
1571.923828	-90.291878
1582.690430	-90.328392
1593.457031	-90.412743
1604.223633	-90.181694
1614.990234	-90.294342
1625.756836	-90.389381
1636.523438	-90.271523
1647.290039	-90.283867
1658.056641	-90.328293
1668.823242	-90.293587
1679.589844	-90.328575
1690.356445	-90.240044
1701.123047	-90.367760
1711.889648	-90.274155
1722.656250	-90.279190
1733.422852	-90.325890
1744.189453	-90.294655
1754.956055	-90.296104
1765.722656	-90.284882
1776.489258	-90.311615
1787.255859	-90.270172
1798.022461	-90.340958
1808.789063	-90.263969
1819.555664	-90.301636
1830.322266	-90.246788
1841.088867	-90.317818
1851.855469	-90.310616
1862.622070	-90.283081
1873.388672	-90.284737
1884.155273	-90.328896
1894.921875	-90.219498
1905.688477	-90.315628
1916.455078	-90.278671
1927.221680	-90.303017
1937.988281	-90.265289
1948.754883	-90.218063
1959.521484	-90.334778
1970.288086	-90.305611
1981.054688	-90.186569
1991.821289	-90.329437
2002.587891	-90.294426
2013.354492	-90.265083
2024.121094	-90.263046
2034.887695	-90.259285
2045.654297	-90.288521
2056.420898	-90.227631
2067.187500	-90.318779
2077.954102	-90.293228
2088.720703	-90.258575
2099.487305	-90.212662
2110.253906	-90.257729
2121.020508	-90.295624
2131.787109	-90.294342
2142.553711	-90.178810
2153.320313	-90.298584
2164.086914	-90.270370
2174.853516	-90.230484
2185.620117	-90.257637
2196.386719	-90.275848
2207.153320	-90.274841
2217.919922	-90.210983
2228.686523	-90.256241
2239.453125	-90.278297
2250.219727	-90.222488
2260.986328	-90.196518
2271.752930	-90.298264
2282.519531	-90.218681
2293.286133	-90.275406
2304.052734	-90.213234
2314.819336	-90.227478
2325.585938	-90.254326
2336.352539	-90.238518
2347.119141	-90.241776
2357.885742	-90.250420
2368.652344	-90.203102
2379.418945	-90.241623
2390.185547	-90.231110
2400.952148	-90.242004
2411.718750	-90.238068
2422.485352	-90.188499
2433.251953	-90.246407
2444.018555	-90.214996
2454.785156	-90.232033
2465.551758	-90.270668
2476.318359	-90.136505
2487.084961	-90.251328
2497.851563	-90.268173
2508.618164	-90.196167
2519.384766	-90.187248
2530.151367	-90.215302
2540.917969	-90.259651
2551.684570	-90.166008
2562.451172	-90.187912
2573.217773	-90.283867
2583.984375	-90.192841
2594.750977	-90.081856
2605.517578	-90.314987
2616.284180	-90.217171
2627.050781	-90.144402
2637.817383	-90.212341
2648.583984	-90.213264
2659.350586	-90.189774
2670.117188	-90.154060
2680.883789	-90.227234
2691.650391	-90.240135
2702.416992	-90.117020
2713.183594	-90.179367
2723.950195	-90.240501
2734.716797	-90.158401
2745.483398	-90.207970
2756.250000	-90.173119
2767.016602	-90.158424
2777.783203	-90.221642
2788.549805	-90.166550
2799.316406	-90.146484
2810.083008	-90.221222
2820.849609	-90.129211
2831.616211	-90.212448
2842.382813	-90.168587
2853.149414	-90.149559
2863.916016	-90.168877
2874.682617	-90.156288
2885.449219	-90.146263
2896.215820	-90.211746
2906.982422	-90.113953
2917.749023	-90.164276
2928.515625	-90.138176
2939.282227	-90.198189
2950.048828	-90.161171
2960.815430	-90.124352
2971.582031	-90.152954
2982.348633	-90.163071
2993.115234	-90.163551
3003.881836	-90.089920
3014.648438	-90.189774
3025.415039	-90.135406
3036.181641	-90.118233
3046.948242	-90.150223
3057.714844	-90.186920
3068.481445	-90.100128
3079.248047	-90.117691
3090.014648	-90.143478
3100.781250	-90.153618
3111.547852	-90.142250
3122.314453	-90.110947
3133.081055	-90.098549
3143.847656	-90.169731
3154.614258	-90.095123
3165.380859	-90.129982
3176.147461	-90.113411
3186.914063	-90.143036
3197.680664	-90.086227
3208.447266	-90.094826
3219.213867	-90.149864
3229.980469	-90.113243
3240.747070	-90.067406
3251.513672	-90.141083
3262.280273	-90.106949
3273.046875	-90.107826
3283.813477	-90.098755
3294.580078	-90.062622
3305.346680	-90.164513
3316.113281	-90.055222
3326.879883	-90.101357
3337.646484	-90.090965
3348.413086	-90.095039
3359.179688	-90.050873
3369.946289	-90.122559
3380.712891	-90.089706
3391.479492	-90.110703
3402.246094	-90.026909
3413.012695	-90.092422
3423.779297	-90.110100
3434.545898	-90.050194
3445.312500	-90.079742
3456.079102	-90.100037
3466.845703	-90.025696
3477.612305	-90.097176
3488.378906	-90.065697
3499.145508	-90.056831
3509.912109	-90.069420
3520.678711	-90.045929
3531.445313	-90.076881
3542.211914	-90.033676
3552.978516	-90.064682
3563.745117	-90.085793
3574.511719	-89.981270
3585.278320	-90.061539
3596.044922	-90.161285
3606.811523	-89.957077
3617.578125	-90.022148
3628.344727	-90.070381
3639.111328	-90.041855
3649.877930	-90.003014
3660.644531	-90.047569
3671.411133	-90.074158
3682.177734	-90.006905
3692.944336	-89.943306
3703.710938	-90.133766
3714.477539	-90.030266
3725.244141	-89.972443
3736.010742	-90.028999
3746.777344	-90.025414
3757.543945	-90.011795
3768.310547	-90.015305
3779.077148	-89.991440
3789.843750	-90.039818
3800.610352	-89.992935
3811.376953	-89.993111
3822.143555	-90.037155
3832.910156	-89.967094
3843.676758	-90.016289
3854.443359	-89.980347
3865.209961	-90.004677
3875.976563	-90.013100
