Frequency (Hz)	Level (dB)
2939.282227	-68.396248
2950.048828	-58.244087
2960.815430	-64.706924
2971.582031	-82.043396
2982.348633	-71.136490
2993.115234	-66.671860
3003.881836	-72.489899
3014.648438	-64.808235
3025.415039	-65.183472
3036.181641	-81.489639
3046.948242	-65.533859
3057.714844	-63.028629
3068.481445	-65.557144
3079.248047	-58.279812
3090.014648	-55.172321
3100.781250	-66.617165
3111.547852	-62.487221
3122.314453	-66.561913
3133.081055	-74.649185
3143.847656	-71.361176
3154.614258	-71.783180
3165.380859	-62.656796
3176.147461	-60.976131
3186.914063	-71.507454
3197.680664	-73.790359
3208.447266	-64.457191
3219.213867	-60.892479
3229.980469	-62.690323
3240.747070	-64.226677
3251.513672	-65.963760
3262.280273	-68.793503
3273.046875	-65.742035
3283.813477	-63.650517
3294.580078	-68.161659
3305.346680	-68.295921
3316.113281	-66.572411
3326.879883	-65.706917
3337.646484	-67.484016
3348.413086	-62.021156
3359.179688	-73.179901
3369.946289	-70.431595
3380.712891	-67.501701
3391.479492	-73.296158
3402.246094	-72.559486
3413.012695	-70.171158
3423.779297	-67.899078
3434.545898	-72.558060
3445.312500	-60.982437
3456.079102	-61.504639
3466.845703	-62.298027
3477.612305	-65.283852
3488.378906	-56.329231
3499.145508	-62.814266
3509.912109	-56.678753
3520.678711	-55.813389
3531.445313	-58.238430
3542.211914	-53.575764
3552.978516	-41.932060
3563.745117	-36.286167
3574.511719	-42.367996
3585.278320	-50.925247
3596.044922	-42.429287
3606.811523	-46.220501
3617.578125	-54.527088
3628.344727	-55.639645
3639.111328	-60.874546
3649.877930	-66.042274
3660.644531	-62.846684
3671.411133	-65.893211
3682.177734	-59.711163
3692.944336	-67.302292
3703.710938	-65.405632
3714.477539	-65.413116
3725.244141	-71.211189
3736.010742	-60.231331
3746.777344	-63.277718
3757.543945	-68.508675
3768.310547	-70.000450
3779.077148	-64.537186
3789.843750	-59.523685
3800.610352	-62.718582
3811.376953	-71.095108
3822.143555	-63.963779
3832.910156	-77.914688
3843.676758	-67.463310
3854.443359	-84.004181
3865.209961	-70.972054
3875.976563	-67.633018
3886.743164	-77.347412
3897.509766	-70.298004
3908.276367	-67.584076
3919.042969	-70.349785
3929.809570	-67.685234
3940.576172	-63.748585
3951.342773	-67.679428
3962.109375	-56.040470
3972.875977	-56.936211
3983.642578	-63.178894
3994.409180	-74.257751
4005.175781	-75.606766
4015.942383	-78.842934
4026.708984	-67.874313
4037.475586	-70.672859
4048.242188	-74.058060
4059.008789	-73.982376
4069.775391	-77.627449
4080.541992	-75.462029
4091.308594	-79.722382
4102.075195	-69.728119
4112.841797	-67.315681
4123.608398	-67.660637
4134.375000	-75.350929
4145.141602	-65.643715
4155.908203	-57.944286
4166.674805	-58.233921
4177.441406	-73.734947
4188.208008	-62.529785
4198.974609	-65.308655
4209.741211	-59.972263
4220.507813	-57.179092
4231.274414	-59.524506
4242.041016	-70.856339
4252.807617	-67.693520
4263.574219	-71.249992
4274.340820	-70.518867
4285.107422	-70.287361
4295.874023	-67.401260
4306.640625	-67.626831
4317.407227	-67.816666
4328.173828	-69.780495
4338.940430	-70.814934
4349.707031	-62.540077
4360.473633	-56.590351
4371.240234	-62.586174
4382.006836	-56.664284
4392.773438	-59.323326
