Frequency (Hz)	Level (dB)
2939.282227	-64.737770
2950.048828	-61.391968
2960.815430	-65.577682
2971.582031	-70.187653
2982.348633	-78.176086
2993.115234	-71.150986
3003.881836	-66.869385
3014.648438	-65.854988
3025.415039	-68.596741
3036.181641	-71.261147
3046.948242	-69.866753
3057.714844	-70.885941
3068.481445	-78.816811
3079.248047	-60.780041
3090.014648	-57.395313
3100.781250	-63.970249
3111.547852	-65.625435
3122.314453	-64.632828
3133.081055	-71.006836
3143.847656	-71.585365
3154.614258	-67.087219
3165.380859	-63.320099
3176.147461	-62.715153
3186.914063	-68.826363
3197.680664	-74.821579
3208.447266	-65.593948
3219.213867	-61.471279
3229.980469	-64.025475
3240.747070	-68.811485
3251.513672	-73.073303
3262.280273	-89.463730
3273.046875	-72.610481
3283.813477	-66.893578
3294.580078	-66.228668
3305.346680	-67.693008
3316.113281	-65.608498
3326.879883	-67.563873
3337.646484	-74.816536
3348.413086	-65.547493
3359.179688	-70.425926
3369.946289	-78.776451
3380.712891	-72.854836
3391.479492	-72.608749
3402.246094	-70.636551
3413.012695	-78.943787
3423.779297	-77.730225
3434.545898	-72.565666
3445.312500	-66.068604
3456.079102	-71.871971
3466.845703	-76.101692
3477.612305	-67.484200
3488.378906	-61.179607
3499.145508	-62.331623
3509.912109	-59.906837
3520.678711	-61.527145
3531.445313	-59.662392
3542.211914	-50.110519
3552.978516	-41.162445
3563.745117	-37.264656
3574.511719	-40.512627
3585.278320	-46.125610
3596.044922	-44.947495
3606.811523	-48.174473
3617.578125	-68.398880
3628.344727	-64.301331
3639.111328	-66.101074
3649.877930	-72.936249
3660.644531	-66.400322
3671.411133	-63.114712
3682.177734	-61.084743
3692.944336	-63.804974
3703.710938	-65.631531
3714.477539	-67.497513
3725.244141	-81.171707
3736.010742	-61.807800
3746.777344	-61.185474
3757.543945	-65.994057
3768.310547	-67.065315
3779.077148	-64.771698
3789.843750	-62.141533
3800.610352	-65.836365
3811.376953	-76.079269
3822.143555	-68.395538
3832.910156	-76.037491
3843.676758	-70.564110
3854.443359	-73.183731
3865.209961	-70.120705
3875.976563	-67.076385
3886.743164	-72.252762
3897.509766	-70.803925
3908.276367	-69.764206
3919.042969	-68.467514
3929.809570	-65.788513
3940.576172	-67.132912
3951.342773	-65.770859
3962.109375	-57.705807
3972.875977	-58.275150
3983.642578	-63.107986
3994.409180	-72.149849
4005.175781	-79.166847
4015.942383	-84.173599
4026.708984	-70.157005
4037.475586	-70.389008
4048.242188	-74.576363
4059.008789	-78.499275
4069.775391	-85.348129
4080.541992	-78.334846
4091.308594	-73.343315
4102.075195	-74.270805
4112.841797	-73.815475
4123.608398	-72.832497
4134.375000	-74.787209
4145.141602	-68.771240
4155.908203	-60.901585
4166.674805	-60.565758
4177.441406	-66.830421
4188.208008	-64.570404
4198.974609	-61.027576
4209.741211	-59.767212
4220.507813	-58.724037
4231.274414	-59.114990
4242.041016	-64.662018
4252.807617	-69.071129
4263.574219	-70.628464
4274.340820	-70.616867
4285.107422	-79.088875
4295.874023	-73.101547
4306.640625	-75.250435
4317.407227	-78.871864
4328.173828	-81.951317
4338.940430	-69.169022
4349.707031	-61.063915
4360.473633	-59.262245
4371.240234	-78.404266
4382.006836	-59.779728
4392.773438	-60.154705
4403.540039	-62.504341
4414.306641	-68.598541
4425.073242	-61.217213
4435.839844	-54.858906
4446.606445	-59.291229
4457.373047	-70.348198
4468.139648	-76.881348
4478.906250	-67.422737
4489.672852	-63.542374
4500.439453	-65.372154
4511.206055	-68.952911
4521.972656	-59.034111
4532.739258	-49.234146
4543.505859	-44.991932
4554.272461	-38.735062
4565.039063	-34.555016
4575.805664	-37.675514
4586.572266	-49.497570
4597.338867	-61.115364
4608.105469	-53.426907
4618.872070	-57.264782
4629.638672	-63.241726
4640.405273	-69.558006
4651.171875	-72.674637
4661.938477	-76.983673
4672.705078	-67.632652
4683.471680	-68.181564
4694.238281	-68.500229
4705.004883	-68.698563
4715.771484	-75.938072
4726.538086	-69.033043
4737.304688	-64.800156
4748.071289	-65.466827
4758.837891	-69.884094
4769.604492	-75.686317
4780.371094	-69.122894
4791.137695	-67.231453
4801.904297	-69.776436
4812.670898	-69.170387
4823.437500	-73.771851
4834.204102	-69.256233
4844.970703	-64.231377
4855.737305	-57.763977
4866.503906	-54.363636
4877.270508	-55.314159
4888.037109	-62.136520
4898.803711	-66.727837
4909.570313	-65.433731
4920.336914	-63.566006
4931.103516	-61.000652
4941.870117	-66.983955
4952.636719	-74.568893
4963.403320	-66.807053
4974.169922	-63.075882
4984.936523	-62.889038
4995.703125	-64.229218
5006.469727	-65.154953
5017.236328	-66.332283
5028.002930	-70.997070
5038.769531	-75.223419
5049.536133	-71.360474
5060.302734	-73.167641
5071.069336	-77.989952
5081.835938	-69.693436
5092.602539	-65.941940
5103.369141	-67.229263
5114.135742	-67.257370
5124.902344	-65.808289
5135.668945	-67.307594
5146.435547	-69.638023
5157.202148	-70.433388
5167.968750	-71.853523
5178.735352	-80.350288
5189.501953	-68.736412
5200.268555	-61.180775
5211.035156	-61.648239
5221.801758	-69.522980
5232.568359	-69.354355
5243.334961	-67.159492
5254.101563	-65.504341
5264.868164	-65.663284
5275.634766	-68.183891
5286.401367	-74.546959
5297.167969	-82.384003
5307.934570	-70.553955
5318.701172	-66.406525
5329.467773	-69.165390
5340.234375	-68.176041
5351.000977	-64.172623
5361.767578	-68.610046
5372.534180	-73.424850
5383.300781	-79.037766
5394.067383	-72.433975
5404.833984	-79.196404
5415.600586	-70.445068
5426.367188	-63.427483
5437.133789	-60.385582
5447.900391	-61.434742
5458.666992	-63.468246
5469.433594	-65.869331
5480.200195	-64.143044
5490.966797	-60.997631
5501.733398	-65.353897
5512.500000	-60.888908
5523.266602	-54.611610
5534.033203	-59.572353
5544.799805	-61.602650
5555.566406	-59.445656
5566.333008	-59.457310
5577.099609	-62.418049
5587.866211	-49.849251
5598.632813	-43.150932
5609.399414	-42.330605
5620.166016	-47.050972
5630.932617	-56.205402
5641.699219	-69.046310
5652.465820	-61.059025
5663.232422	-62.749073
5673.999023	-65.753113
5684.765625	-67.721870
5695.532227	-58.059025
5706.298828	-54.423740
5717.065430	-60.533134
5727.832031	-69.641121
5738.598633	-72.407104
5749.365234	-69.276062
5760.131836	-72.136368
5770.898438	-82.611214
5781.665039	-71.759796
5792.431641	-67.773758
5803.198242	-66.891151
5813.964844	-68.385139
5824.731445	-69.510490
5835.498047	-68.341568
5846.264648	-71.001175
5857.031250	-75.763474
5867.797852	-74.664764
5878.564453	-70.183876
5889.331055	-68.517044
5900.097656	-67.721832
5910.864258	-69.433754
5921.630859	-72.461784
5932.397461	-69.907234
5943.164063	-66.857788
5953.930664	-71.191933
5964.697266	-73.545715
5975.463867	-70.611031
5986.230469	-73.979561
5996.997070	-80.166664
6007.763672	-74.267998
6018.530273	-70.030731
6029.296875	-70.167809
6040.063477	-72.892166
6050.830078	-74.221275
6061.596680	-73.329346
6072.363281	-80.256073
6083.129883	-88.310616
6093.896484	-78.662422
6104.663086	-77.777069
6115.429688	-71.905838
6126.196289	-75.082840
6136.962891	-82.544899
6147.729492	-74.121330
6158.496094	-77.606041
6169.262695	-77.949715
6180.029297	-68.126289
6190.795898	-64.122139
6201.562500	-62.779724
6212.329102	-62.403805
6223.095703	-62.974327
6233.862305	-65.017601
6244.628906	-71.585754
6255.395508	-76.817924
6266.162109	-66.497154
6276.928711	-70.241928
6287.695313	-68.981346
6298.461914	-66.344566
6309.228516	-68.320549
6319.995117	-69.939888
6330.761719	-64.692085
6341.528320	-57.473087
6352.294922	-56.033993
6363.061523	-62.144730
6373.828125	-70.690880
6384.594727	-65.409409
6395.361328	-59.487152
6406.127930	-59.391479
6416.894531	-62.539757
6427.661133	-70.214836
6438.427734	-71.407944
6449.194336	-68.216896
6459.960938	-67.355835
6470.727539	-70.732971
6481.494141	-76.868210
6492.260742	-70.976128
6503.027344	-68.712791
6513.793945	-71.542862
6524.560547	-81.057579
6535.327148	-86.030945
6546.093750	-77.745323
6556.860352	-76.278496
6567.626953	-75.104752
6578.393555	-74.619850
6589.160156	-74.202812
6599.926758	-72.917435
6610.693359	-75.691765
6621.459961	-78.278961
6632.226563	-79.623070
6642.993164	-76.115341
6653.759766	-76.389351
6664.526367	-79.452927
6675.292969	-76.676476
6686.059570	-82.196602
6696.826172	-76.053070
6707.592773	-75.890579
6718.359375	-80.162544
6729.125977	-89.266464
6739.892578	-91.104042
6750.659180	-78.393105
6761.425781	-77.426552
6772.192383	-79.088089
6782.958984	-78.449936
6793.725586	-75.984924
6804.492188	-76.661453
6815.258789	-82.420937
6826.025391	-78.761162
6836.791992	-74.019302
6847.558594	-74.480827
6858.325195	-74.810814
6869.091797	-72.481773
6879.858398	-69.560463
6890.625000	-68.392181
6901.391602	-68.173615
6912.158203	-85.895081
6922.924805	-67.976311
6933.691406	-69.447815
6944.458008	-71.889198
6955.224609	-73.578659
6965.991211	-78.279968
6976.757813	-73.622818
6987.524414	-75.113564
6998.291016	-76.213326
7009.057617	-70.543388
7019.824219	-72.090630
7030.590820	-78.635704
7041.357422	-89.200455
7052.124023	-81.809853
7062.890625	-77.240128
7073.657227	-71.669113
7084.423828	-66.566383
7095.190430	-65.176178
7105.957031	-66.835739
7116.723633	-70.865799
7127.490234	-77.807205
7138.256836	-81.552826
7149.023438	-87.963158
7159.790039	-78.942070
7170.556641	-76.154114
7181.323242	-90.786949
7192.089844	-79.206902
7202.856445	-77.147774
7213.623047	-81.386711
7224.389648	-88.999947
7235.156250	-73.984962
7245.922852	-69.284981
7256.689453	-71.595848
7267.456055	-69.071281
7278.222656	-69.366409
7288.989258	-74.097183
7299.755859	-78.750328
7310.522461	-82.430138
7321.289063	-89.088654
7332.055664	-84.955315
7342.822266	-77.772560
7353.588867	-78.637321
7364.355469	-75.712975
7375.122070	-76.572487
7385.888672	-78.122681
7396.655273	-76.268600
7407.421875	-85.707489
7418.188477	-92.868881
7428.955078	-78.190834
7439.721680	-76.661629
7450.488281	-82.312912
7461.254883	-84.124046
7472.021484	-82.996902
7482.788086	-74.816643
7493.554688	-70.569649
7504.321289	-70.997391
7515.087891	-76.369133
7525.854492	-84.442093
