Frequency (Hz)	Level (dB)
2939.282227	-35.121464
2950.048828	-33.783630
2960.815430	-36.354710
2971.582031	-39.989178
2982.348633	-33.922127
2993.115234	-34.815792
3003.881836	-32.964508
3014.648438	-36.990101
3025.415039	-49.697670
3036.181641	-39.561649
3046.948242	-45.752472
3057.714844	-36.874428
3068.481445	-37.376293
3079.248047	-36.192410
3090.014648	-39.778454
3100.781250	-34.411549
3111.547852	-36.453053
3122.314453	-41.774387
3133.081055	-48.138664
3143.847656	-48.968960
3154.614258	-41.166164
3165.380859	-41.111984
3176.147461	-37.230839
3186.914063	-33.126152
3197.680664	-42.330833
3208.447266	-46.190258
3219.213867	-36.575954
3229.980469	-40.982708
3240.747070	-35.330166
3251.513672	-33.192020
3262.280273	-39.540642
3273.046875	-41.833736
3283.813477	-35.485920
3294.580078	-33.141235
3305.346680	-36.409752
3316.113281	-33.234909
3326.879883	-34.286694
3337.646484	-33.609035
3348.413086	-40.091255
3359.179688	-38.859745
3369.946289	-43.631863
3380.712891	-50.849884
3391.479492	-39.445316
3402.246094	-39.132656
3413.012695	-46.781010
3423.779297	-50.914429
3434.545898	-39.717266
3445.312500	-36.459682
3456.079102	-32.689754
3466.845703	-43.696938
3477.612305	-45.551407
3488.378906	-35.211285
3499.145508	-37.431976
3509.912109	-38.589828
3520.678711	-47.369598
3531.445313	-40.339142
3542.211914	-36.088081
3552.978516	-32.159695
3563.745117	-40.944862
3574.511719	-32.533466
3585.278320	-37.698650
3596.044922	-49.631088
3606.811523	-42.333275
3617.578125	-33.110893
3628.344727	-36.416950
3639.111328	-47.684216
3649.877930	-46.956135
3660.644531	-42.276485
3671.411133	-36.590664
3682.177734	-56.752411
3692.944336	-33.308506
3703.710938	-32.077541
3714.477539	-41.060528
3725.244141	-32.908722
3736.010742	-30.085339
3746.777344	-30.974504
3757.543945	-41.150700
3768.310547	-34.521011
3779.077148	-35.868591
3789.843750	-34.280254
3800.610352	-33.202435
3811.376953	-34.329094
3822.143555	-39.558193
3832.910156	-39.457275
3843.676758	-35.782658
3854.443359	-30.870478
3865.209961	-35.495155
3875.976563	-39.201244
3886.743164	-37.881718
3897.509766	-40.541626
