Frequency (Hz)	Level (dB)
10.766602	-83.886528
21.533203	-83.896126
32.299805	-83.869789
43.066406	-83.891975
53.833008	-83.881531
64.599609	-83.885445
75.366211	-83.891899
86.132813	-83.886345
96.899414	-83.864326
107.666016	-83.891899
118.432617	-83.882111
129.199219	-83.889107
139.965820	-83.888000
150.732422	-83.887215
161.499023	-83.878510
172.265625	-83.880066
183.032227	-83.877983
193.798828	-83.869171
204.565430	-83.899292
215.332031	-83.889122
226.098633	-83.892883
236.865234	-83.880417
247.631836	-83.870659
258.398438	-83.883080
269.165039	-83.884514
279.931641	-83.870285
290.698242	-83.885796
301.464844	-83.898476
312.231445	-83.874245
322.998047	-83.865959
333.764648	-83.886154
344.531250	-83.868362
355.297852	-83.884865
366.064453	-83.865936
376.831055	-83.885803
387.597656	-83.870911
398.364258	-83.878914
409.130859	-83.850609
419.897461	-83.876740
430.664063	-83.872627
441.430664	-83.881027
452.197266	-83.858711
462.963867	-83.860992
473.730469	-83.869492
484.497070	-83.885414
495.263672	-83.845757
506.030273	-83.860634
516.796875	-83.873764
527.563477	-83.878403
538.330078	-83.847908
549.096680	-83.856590
559.863281	-83.856888
570.629883	-83.865326
581.396484	-83.862473
592.163086	-83.852493
602.929688	-83.843788
613.696289	-83.851311
624.462891	-83.865028
635.229492	-83.844238
645.996094	-83.860085
656.762695	-83.846100
667.529297	-83.844872
678.295898	-83.842529
689.062500	-83.840736
699.829102	-83.852272
710.595703	-83.856544
721.362305	-83.839149
732.128906	-83.840591
742.895508	-83.861595
753.662109	-83.819260
764.428711	-83.835709
775.195313	-83.837120
785.961914	-83.849464
796.728516	-83.860748
807.495117	-83.822784
818.261719	-83.814308
829.028320	-83.844444
839.794922	-83.824150
850.561523	-83.817406
861.328125	-83.826469
872.094727	-83.836624
882.861328	-83.819138
893.627930	-83.826202
904.394531	-83.811691
915.161133	-83.814209
925.927734	-83.812828
936.694336	-83.803848
947.460938	-83.823738
958.227539	-83.814751
968.994141	-83.790741
979.760742	-83.809120
990.527344	-83.813721
1001.293945	-83.800438
1012.060547	-83.791481
1022.827148	-83.805176
1033.593750	-83.794495
1044.360352	-83.789749
1055.126953	-83.796303
1065.893555	-83.793427
1076.660156	-83.786621
1087.426758	-83.800674
1098.193359	-83.771873
1108.959961	-83.775314
1119.726563	-83.788307
1130.493164	-83.774147
1141.259766	-83.780861
1152.026367	-83.786858
1162.792969	-83.765121
