Frequency (Hz)	Level (dB)
10.766602	-137.441376
21.533203	-140.465515
32.299805	-135.924606
43.066406	-141.138336
53.833008	-141.064270
64.599609	-140.744568
75.366211	-138.467087
86.132813	-136.335785
96.899414	-137.451736
107.666016	-136.164032
118.432617	-138.739563
129.199219	-143.956360
139.965820	-150.533203
150.732422	-138.419128
161.499023	-136.103531
172.265625	-135.819672
183.032227	-141.573547
193.798828	-138.761353
204.565430	-139.112061
215.332031	-145.472916
226.098633	-141.496536
236.865234	-149.267609
247.631836	-140.240860
258.398438	-142.918274
269.165039	-148.682587
279.931641	-141.724289
290.698242	-134.623108
301.464844	-130.101486
312.231445	-142.865845
322.998047	-141.712036
333.764648	-139.154617
344.531250	-137.265411
355.297852	-139.769836
366.064453	-138.742386
376.831055	-136.854324
387.597656	-137.010361
398.364258	-134.609253
409.130859	-136.237717
419.897461	-142.716888
430.664063	-151.560532
441.430664	-138.663544
452.197266	-142.683228
462.963867	-141.877701
473.730469	-144.435928
484.497070	-136.660416
495.263672	-136.802536
506.030273	-149.792816
516.796875	-146.398453
527.563477	-140.985229
538.330078	-138.870529
549.096680	-140.536270
559.863281	-141.266693
570.629883	-140.914429
581.396484	-148.521408
592.163086	-133.662552
602.929688	-133.524597
613.696289	-141.076645
624.462891	-140.762558
635.229492	-139.976303
645.996094	-137.215775
656.762695	-142.516876
667.529297	-149.252716
678.295898	-162.434448
689.062500	-143.144989
699.829102	-134.665390
710.595703	-138.771027
721.362305	-143.468460
732.128906	-142.636780
742.895508	-135.446121
753.662109	-135.132309
764.428711	-147.359741
775.195313	-135.884186
785.961914	-137.931442
796.728516	-136.255569
807.495117	-138.989105
818.261719	-138.341339
829.028320	-137.612930
839.794922	-144.148392
850.561523	-139.813721
861.328125	-143.196854
872.094727	-139.132950
882.861328	-142.018539
893.627930	-143.606812
904.394531	-138.279572
915.161133	-139.365219
925.927734	-157.228699
936.694336	-141.378738
947.460938	-140.939087
958.227539	-139.810242
968.994141	-137.054993
979.760742	-142.134933
