Frequency (Hz)	Level (dB)
2939.282227	-77.565460
2950.048828	-77.616608
2960.815430	-77.647148
2971.582031	-77.682381
2982.348633	-77.727425
2993.115234	-77.779465
3003.881836	-77.793358
3014.648438	-77.855072
3025.415039	-77.879990
3036.181641	-77.914200
3046.948242	-77.972900
3057.714844	-78.001953
3068.481445	-78.033066
3079.248047	-78.070107
3090.014648	-78.126411
3100.781250	-78.128746
3111.547852	-78.199539
3122.314453	-78.219368
3133.081055	-78.258888
3143.847656	-78.298103
3154.614258	-78.340652
3165.380859	-78.373306
3176.147461	-78.399017
3186.914063	-78.450836
3197.680664	-78.466858
3208.447266	-78.524094
3219.213867	-78.547607
3229.980469	-78.583778
3240.747070	-78.617470
3251.513672	-78.667694
3262.280273	-78.687515
3273.046875	-78.712257
3283.813477	-78.776482
3294.580078	-78.792061
3305.346680	-78.822906
3316.113281	-78.863770
3326.879883	-78.900475
3337.646484	-78.921120
3348.413086	-78.970085
3359.179688	-78.991714
3369.946289	-79.030273
3380.712891	-79.062218
3391.479492	-79.106621
3402.246094	-79.107849
3413.012695	-79.176285
3423.779297	-79.197212
3434.545898	-79.212639
3445.312500	-79.256760
3456.079102	-79.298332
3466.845703	-79.322159
3477.612305	-79.338356
3488.378906	-79.404976
3499.145508	-79.403557
3509.912109	-79.450775
3520.678711	-79.483986
3531.445313	-79.503731
3542.211914	-79.540649
3552.978516	-79.577950
3563.745117	-79.606613
3574.511719	-79.613647
3585.278320	-79.681786
3596.044922	-79.693275
3606.811523	-79.714447
3617.578125	-79.760429
3628.344727	-79.792526
3639.111328	-79.800545
3649.877930	-79.847122
3660.644531	-79.875557
3671.411133	-79.897926
3682.177734	-79.933250
3692.944336	-79.969284
3703.710938	-79.978821
3714.477539	-80.029129
3725.244141	-80.055977
3736.010742	-80.061111
3746.777344	-80.110794
3757.543945	-80.141121
3768.310547	-80.163658
3779.077148	-80.176117
3789.843750	-80.238609
3800.610352	-80.242355
3811.376953	-80.272369
3822.143555	-80.310440
3832.910156	-80.326218
3843.676758	-80.359901
3854.443359	-80.389526
3865.209961	-80.410515
3875.976563	-80.426674
3886.743164	-80.484848
3897.509766	-80.493866
3908.276367	-80.506500
3919.042969	-80.560966
3929.809570	-80.581299
3940.576172	-80.591324
3951.342773	-80.627914
3962.109375	-80.664169
3972.875977	-80.674667
3983.642578	-80.708458
3994.409180	-80.742195
4005.175781	-80.754272
4015.942383	-80.790123
4026.708984	-80.824387
4037.475586	-80.827049
4048.242188	-80.867569
4059.008789	-80.907402
4069.775391	-80.908539
4080.541992	-80.930862
4091.308594	-80.985970
4102.075195	-80.992119
4112.841797	-81.009529
4123.608398	-81.053558
4134.375000	-81.069984
4145.141602	-81.093895
4155.908203	-81.122490
4166.674805	-81.140198
4177.441406	-81.165695
4188.208008	-81.197418
4198.974609	-81.221375
4209.741211	-81.220505
4220.507813	-81.283775
4231.274414	-81.293816
4242.041016	-81.306770
4252.807617	-81.336082
4263.574219	-81.380936
4274.340820	-81.372406
4285.107422	-81.407967
4295.874023	-81.446716
4306.640625	-81.449455
4317.407227	-81.487022
4328.173828	-81.508308
4338.940430	-81.527580
4349.707031	-81.554482
4360.473633	-81.587105
4371.240234	-81.596802
4382.006836	-81.614761
4392.773438	-81.663795
4403.540039	-81.663887
4414.306641	-81.683586
4425.073242	-81.728592
4435.839844	-81.744446
4446.606445	-81.750168
4457.373047	-81.792885
4468.139648	-81.806602
4478.906250	-81.831573
4489.672852	-81.847816
4500.439453	-81.889053
4511.206055	-81.871284
4521.972656	-81.938782
4532.739258	-81.939468
4543.505859	-81.955925
4554.272461	-81.989548
4565.039063	-82.024399
4575.805664	-82.026413
4586.572266	-82.039459
4597.338867	-82.098076
4608.105469	-82.082291
4618.872070	-82.121567
4629.638672	-82.136703
4640.405273	-82.167999
4651.171875	-82.176003
4661.938477	-82.218460
4672.705078	-82.219772
4683.471680	-82.237427
4694.238281	-82.287811
4705.004883	-82.280098
4715.771484	-82.295837
4726.538086	-82.348152
4737.304688	-82.363770
4748.071289	-82.351608
4758.837891	-82.401741
4769.604492	-82.419930
4780.371094	-82.434425
4791.137695	-82.446800
4801.904297	-82.495926
4812.670898	-82.493645
4823.437500	-82.531303
4834.204102	-82.528992
4844.970703	-82.552826
4855.737305	-82.584724
4866.503906	-82.628311
4877.270508	-82.591614
4888.037109	-82.643082
4898.803711	-82.693687
4909.570313	-82.670868
4920.336914	-82.693100
4931.103516	-82.718384
4941.870117	-82.759254
4952.636719	-82.740089
4963.403320	-82.804581
4974.169922	-82.795547
4984.936523	-82.806335
4995.703125	-82.860260
5006.469727	-82.848740
5017.236328	-82.878746
5028.002930	-82.899529
5038.769531	-82.928871
5049.536133	-82.919075
5060.302734	-82.973930
5071.069336	-82.969070
5081.835938	-82.999702
5092.602539	-82.996552
5103.369141	-83.062820
5114.135742	-83.027519
5124.902344	-83.091782
5135.668945	-83.080559
5146.435547	-83.119110
5157.202148	-83.127625
5167.968750	-83.147072
5178.735352	-83.170395
5189.501953	-83.174355
5200.268555	-83.241791
5211.035156	-83.213135
5221.801758	-83.227562
5232.568359	-83.284531
5243.334961	-83.277779
5254.101563	-83.294945
5264.868164	-83.318024
5275.634766	-83.327721
5286.401367	-83.350235
5297.167969	-83.394806
5307.934570	-83.370453
5318.701172	-83.394379
5329.467773	-83.454155
5340.234375	-83.430038
5351.000977	-83.458549
5361.767578	-83.483788
5372.534180	-83.519707
5383.300781	-83.485458
5394.067383	-83.525940
5404.833984	-83.575157
5415.600586	-83.571167
5426.367188	-83.580711
5437.133789	-83.590126
5447.900391	-83.630287
5458.666992	-83.639343
5469.433594	-83.673576
5480.200195	-83.674858
5490.966797	-83.668060
5501.733398	-83.739899
5512.500000	-83.710358
5523.266602	-83.726830
5534.033203	-83.785530
5544.799805	-83.787399
5555.566406	-83.792778
5566.333008	-83.817596
5577.099609	-83.829079
5587.866211	-83.837204
5598.632813	-83.884392
5609.399414	-83.879883
5620.166016	-83.887260
5630.932617	-83.953667
5641.699219	-83.911095
5652.465820	-83.951073
5663.232422	-83.970390
5673.999023	-84.017845
5684.765625	-83.941391
5695.532227	-84.023262
5706.298828	-84.069435
5717.065430	-84.044968
5727.832031	-84.021019
5738.598633	-84.124596
5749.365234	-84.090057
5760.131836	-84.110435
5770.898438	-84.159912
5781.665039	-84.121880
5792.431641	-84.145859
5803.198242	-84.205147
5813.964844	-84.194000
5824.731445	-84.192421
5835.498047	-84.277702
5846.264648	-84.216103
5857.031250	-84.266411
5867.797852	-84.273376
5878.564453	-84.291718
5889.331055	-84.321785
5900.097656	-84.299957
5910.864258	-84.345039
5921.630859	-84.395454
5932.397461	-84.352646
5943.164063	-84.371658
5953.930664	-84.435692
5964.697266	-84.382675
5975.463867	-84.479630
5986.230469	-84.443916
