Frequency (Hz)	Level (dB)
2939.282227	-156.584915
2950.048828	-136.631851
2960.815430	-145.406158
2971.582031	-139.440613
2982.348633	-131.593185
2993.115234	-126.484131
3003.881836	-127.670799
3014.648438	-134.098068
3025.415039	-144.228806
3036.181641	-137.959869
3046.948242	-133.381088
3057.714844	-136.459579
3068.481445	-148.873306
3079.248047	-137.927109
3090.014648	-131.439484
3100.781250	-129.804138
3111.547852	-131.795761
3122.314453	-138.019562
3133.081055	-149.361923
3143.847656	-139.178131
3154.614258	-137.649231
3165.380859	-145.917618
3176.147461	-137.915848
3186.914063	-135.353333
3197.680664	-129.886826
3208.447266	-129.680298
3219.213867	-137.108322
3229.980469	-147.853958
3240.747070	-139.955490
3251.513672	-136.501740
3262.280273	-150.990021
3273.046875	-133.625931
3283.813477	-129.816345
3294.580078	-128.983780
3305.346680	-128.456055
3316.113281	-133.436127
3326.879883	-142.723282
3337.646484	-137.592087
3348.413086	-137.410645
3359.179688	-140.234924
3369.946289	-139.100433
3380.712891	-131.534912
3391.479492	-130.989563
3402.246094	-130.673477
3413.012695	-133.186752
3423.779297	-139.337311
3434.545898	-136.444290
3445.312500	-157.444504
3456.079102	-140.686340
3466.845703	-138.690643
3477.612305	-130.765656
3488.378906	-130.487259
3499.145508	-133.352066
3509.912109	-137.122726
3520.678711	-143.956467
3531.445313	-135.611282
3542.211914	-136.947739
3552.978516	-144.661591
3563.745117	-142.197403
3574.511719	-131.156067
3585.278320	-129.397461
3596.044922	-131.396164
3606.811523	-134.020279
3617.578125	-143.151138
3628.344727	-135.952972
3639.111328	-135.102859
3649.877930	-140.897919
3660.644531	-141.586487
3671.411133	-141.971176
3682.177734	-133.485748
3692.944336	-133.408295
3703.710938	-135.753372
3714.477539	-138.819214
3725.244141	-140.428589
3736.010742	-134.645081
3746.777344	-141.229080
3757.543945	-146.452637
3768.310547	-143.999405
3779.077148	-132.839249
3789.843750	-132.423798
3800.610352	-139.615921
3811.376953	-139.444931
3822.143555	-140.578827
3832.910156	-136.441116
3843.676758	-142.998001
3854.443359	-142.166122
3865.209961	-140.647339
3875.976563	-136.131592
3886.743164	-132.996872
3897.509766	-138.177612
3908.276367	-135.343246
3919.042969	-136.628098
3929.809570	-136.147079
3940.576172	-135.860123
3951.342773	-154.866394
3962.109375	-139.504654
3972.875977	-140.666550
3983.642578	-135.949570
3994.409180	-137.769730
4005.175781	-138.779739
4015.942383	-134.770081
4026.708984	-136.637604
4037.475586	-136.804230
4048.242188	-152.144592
4059.008789	-135.724884
4069.775391	-136.209366
4080.541992	-135.232208
4091.308594	-134.654938
4102.075195	-139.552567
4112.841797	-135.497742
4123.608398	-139.902512
4134.375000	-138.236237
4145.141602	-142.348083
4155.908203	-138.909668
4166.674805	-135.126007
4177.441406	-148.605057
4188.208008	-136.760559
4198.974609	-136.134018
4209.741211	-133.060394
4220.507813	-134.463943
4231.274414	-149.245636
4242.041016	-143.571594
4252.807617	-142.581604
4263.574219	-134.045517
4274.340820	-136.231628
4285.107422	-140.811630
4295.874023	-137.743256
4306.640625	-135.356384
4317.407227	-132.138885
4328.173828	-137.500015
4338.940430	-144.715759
4349.707031	-140.493866
4360.473633	-140.973480
4371.240234	-141.011520
4382.006836	-139.777679
4392.773438	-133.819016
